"store_id","ME_arimaxreg","RMSE_arimaxreg","MAE_arimaxreg","MPE_arimaxreg","MAPE_arimaxreg"
"S0002","2911.89","3412.5429653178","2911.89","35.6421086383845","35.6421086383845"
"S0003","1229.468","1260.74584180952","1229.468","49.4702551280488","49.4702551280488"
"S0005","1955.814","2332.04937999606","1955.814","55.6765855262343","55.6765855262343"
"S0007","1370.37","1410.50333687659","1370.37","59.7654995053451","59.7654995053451"
"S0010","3901.782","3937.98231742856","3901.782","57.4182752976216","57.4182752976216"
"S0012","864.938","970.611199801445","864.938","31.6765258867984","31.6765258867984"
"S0014","126.884","208.705987264381","178.6","7.97278248795272","11.5480578095934"
"S0015","8881.398","8902.43114637906","8881.398","75.4566809507637","75.4566809507637"
"S0016","103.854","192.847660032472","144.726","11.0317969738726","15.6312495440353"
"S0020","23670.442","23717.3307031323","23670.442","71.8635491454737","71.8635491454737"
"S0022","801.508","830.402495492397","801.508","29.9495653116609","29.9495653116609"
"S0023","1083.204","1358.49648489792","1121.596","21.5350106217586","22.7058411087304"
"S0026","19543.774","19583.3735230593","19543.774","63.729565276226","63.729565276226"
"S0030","212.962","237.626787673444","212.962","27.3547007945061","27.3547007945061"
"S0032","500.95","544.184462089832","500.95","39.0025177876313","39.0025177876313"
"S0036","2339.894","2379.64532590468","2339.894","59.0174026882391","59.0174026882391"
"S0038","8003.71","8062.1924956565","8003.71","46.5264587179669","46.5264587179669"
"S0039","367.188","436.707186659437","375.68","32.0604371028588","32.8866116190914"
"S0040","2183.064","2340.55566721238","2183.064","34.3920611115511","34.3920611115511"
"S0041","6.136","63.0432105781423","50.956","3.27918618102667","24.0577782341609"
"S0045","374.128","462.193576761945","374.128","28.7814994402515","28.7814994402515"
"S0046","6478.824","6502.57836201918","6478.824","84.7516689868485","84.7516689868485"
"S0050","1698.604","1783.78098762152","1698.604","38.7386236090634","38.7386236090634"
"S0052","35.95","385.334187608626","361.554","-1.30195159480998","27.3456611828585"
"S0055","413.146","582.974305831741","513.678","19.0597221565267","24.6871326364116"
"S0056","9377.166","9442.30580635366","9377.166","64.8308869443747","64.8308869443747"
"S0058","2441.94","2446.98449222712","2441.94","55.8394297850462","55.8394297850462"
"S0059","541.518","595.167045038618","541.518","31.7395473268993","31.7395473268993"
"S0061","11853.318","11871.307540101","11853.318","75.9029828700427","75.9029828700427"
"S0062","4410.44","5113.14544944303","4410.44","27.2866656739031","27.2866656739031"
"S0067","4550.776","4554.99471090362","4550.776","70.5045150309808","70.5045150309808"
"S0068","231.398","405.61914069728","381.978","24.8323410376045","45.0349304251406"
"S0071","1020.532","1085.9139752485","1020.532","32.884648807583","32.884648807583"
"S0072","4815.906","4829.97812843288","4815.906","59.511494801646","59.511494801646"
"S0073","611.994","655.321385565892","611.994","29.3523421145094","29.3523421145094"
"S0076","-312.62","328.020753794634","312.62","-27.1985972252977","27.1985972252977"
"S0077","-13.498","101.959051486369","90.142","-2.92035144277355","19.1024936280037"
"S0080","546.4","637.985938935961","546.4","22.3035866986735","22.3035866986735"
"S0083","422.308","488.179927608664","422.308","35.6024112656664","35.6024112656664"
"S0085","18751.702","18996.3182980992","18751.702","49.2108924722563","49.2108924722563"
"S0086","333.706","343.691716426218","333.706","41.8511120012517","41.8511120012517"
"S0088","2342.594","2382.91492817096","2342.594","69.8881194793655","69.8881194793655"
"S0089","48.578","118.947860426323","103.034","6.57169417332544","16.494666854216"
"S0091","3386.546","3400.44603939836","3386.546","63.8933329494802","63.8933329494802"
"S0092","1670.848","1721.428145291","1670.848","56.9001556964927","56.9001556964927"
"S0094","4965.662","5018.13827060793","4965.662","47.2232417471681","47.2232417471681"
"S0095","1021.614","1266.23332218829","1021.614","11.7731874970302","11.7731874970302"
"S0097","-1296.87","2516.67390017459","2015.006","-20.9824288795981","27.6766129403899"
"S0099","761.296","777.224630052342","761.296","58.3885056165432","58.3885056165432"
"S0102","908.218","1189.87067367004","1026.146","26.4600877880262","31.518270963159"
"S0104","5700.996","6274.80721799483","5700.996","43.4599772955143","43.4599772955143"
"S0107","327.434","926.501564844874","839.822","-0.096437975027294","54.8949178403528"
"S0108","12709.594","12724.504318334","12709.594","76.845624134135","76.845624134135"
"S0109","2962.348","3021.95771690472","2962.348","63.5479153896396","63.5479153896396"
"S0120","11.788","87.461300470551","75.176","2.47109578065553","15.0457209220906"
"S0122","1823.99","1885.41608315512","1823.99","48.6308901277972","48.6308901277972"
"S0126","884.012","1752.15618830057","1536.624","13.8915429866438","32.6381942854394"
"S0131","2400.058","2478.54292560367","2400.058","56.1355258535529","56.1355258535529"
"S0132","9237.976","9245.96963553093","9237.976","74.3766256559163","74.3766256559163"
"S0136","1119.212","1134.84089520954","1119.212","85.201985376632","85.201985376632"
"S0141","220.638","231.314399854397","220.638","38.2798146847382","38.2798146847382"
"S0142","4996.252","5012.12911747892","4996.252","75.9714301767897","75.9714301767897"
"S0143","72.5","153.352896418685","116.468","9.58863051800415","15.0527628172039"
